1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-28286-10,1,21/02/2017,00,198015500,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,404.82,,,
A48-28286-10,1,21/02/2017,00,198013053,,06/2019,80,18/07/2019,19/07/2019,031,13/08/2019,17,391.76,,,
A48-28286-10,1,21/02/2017,00,196013791,,03/2019,81,18/07/2019,19/07/2019,031,13/08/2019,17,342.94,,,
A48-28295-10,1,28/02/2017,00,198014871,,06/2019,80,30/07/2019,13/08/2019,002,13/08/2019,17,"2,967.58",,,
A48-28295-10,1,28/02/2017,00,196014375,,03/2019,81,30/07/2019,13/08/2019,002,13/08/2019,17,"1,612.98",,,
A48-28322-10,1,14/03/2017,00,198015502,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"2,949.18",,,
A48-28322-10,1,14/03/2017,00,198013054,,06/2019,80,18/07/2019,22/07/2019,031,23/08/2019,7,"2,854.07",,,
A48-28322-10,1,14/03/2017,00,196013792,,03/2019,81,18/07/2019,22/07/2019,031,23/08/2019,7,"1,517.75",,,
A48-28337-10,2,07/01/2019,00,192015503,,07/2019,02,20/08/2019,,009,22/08/2019,8,95.8,,,
A48-28337-10,2,07/01/2019,00,198015503,,07/2019,80,20/08/2019,,009,22/08/2019,8,38.32,,,
A48-28343-10,1,24/03/2017,00,198000867,,06/2019,82,08/01/2019,14/08/2019,002,14/08/2019,16,820.51,,,
A48-28379-10,1,04/11/2017,00,191062196,,07/2019,02,31/07/2019,,000,31/07/2019,30,763.23,,,
A48-28397-10,3,01/11/2019,00,192015506,,07/2019,02,20/08/2019,26/08/2019,002,26/08/2019,4,"26,663.14",,,
A48-28397-10,3,01/11/2019,00,198015506,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,"10,665.25",,,
A48-28397-10,3,01/11/2019,00,198013056,,06/2019,80,18/07/2019,20/07/2019,031,23/08/2019,7,"10,145.64",,,
A48-28397-10,3,01/11/2019,00,196013794,,03/2019,81,18/07/2019,20/07/2019,031,23/08/2019,7,"5,148.31",,,
A48-28401-10,1,05/04/2017,00,193000907,,04/2019,03,13/08/2019,22/08/2019,002,22/08/2019,8,732.72,,,
A48-28401-10,1,05/04/2017,00,198000907,,04/2019,82,13/08/2019,22/08/2019,002,22/08/2019,8,293.08,,,
A48-28409-10,1,05/11/2017,00,198015507,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,617.66,,,
A48-28409-10,1,05/11/2017,00,192015507,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"1,544.16",,,
A48-28409-10,1,05/11/2017,00,198010642,,04/2019,80,29/05/2019,13/06/2019,037,08/12/2019,18,287.88,,,
A48-28409-10,1,05/11/2017,00,192010642,,04/2019,02,29/05/2019,13/06/2019,037,08/12/2019,18,719.71,,,
A48-28409-10,1,05/11/2017,00,192013057,,06/2019,02,18/07/2019,22/07/2019,031,23/08/2019,7,"1,494.34",,,
A48-28409-10,1,05/11/2017,00,198013057,,06/2019,80,18/07/2019,22/07/2019,031,23/08/2019,7,597.73,,,
A48-28409-10,1,05/11/2017,00,196010074,,02/2019,81,21/05/2019,28/05/2019,037,08/12/2019,18,164.32,,,
A48-28409-10,1,05/11/2017,00,192012394,,05/2019,02,28/06/2019,07/11/2019,031,08/06/2019,24,824.82,,,
A48-28409-10,1,05/11/2017,00,198012394,,05/2019,80,28/06/2019,07/11/2019,031,08/06/2019,24,329.92,,,
A48-28409-10,1,05/11/2017,00,196013795,,03/2019,81,18/07/2019,22/07/2019,031,23/08/2019,7,278.77,,,
A48-28410-10,1,05/12/2017,00,199032427,,04/2019,00,15/04/2019,23/04/2019,005,07/12/2019,49,"389,789.46",,,
A48-28410-10,1,05/12/2017,00,198009259,,04/2019,80,21/05/2019,27/05/2019,023,15/07/2019,46,352.35,,,
A48-28410-10,1,05/12/2017,00,199032565,,05/2019,00,22/05/2019,29/05/2019,005,15/07/2019,46,"346,031.97",,,
A48-28410-10,1,05/12/2017,00,198011894,,05/2019,80,18/06/2019,24/06/2019,023,07/12/2019,49,364.09,,,
A48-28415-10,1,05/01/2017,00,198014873,,06/2019,80,30/07/2019,13/08/2019,002,13/08/2019,17,"9,696.03",,,
A48-28415-10,1,05/01/2017,00,196014378,,03/2019,81,30/07/2019,13/08/2019,002,13/08/2019,17,"4,616.72",,,
A48-28415-10,1,05/01/2017,00,198012395,,05/2019,80,28/06/2019,07/11/2019,023,15/08/2019,15,"8,108.37",,,
A48-28438-10,1,30/05/2017,00,191062218,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,624.12",,,
A48-28487-10,2,07/04/2019,00,198015510,,07/2019,80,20/08/2019,,009,22/08/2019,8,39.38,,,
A48-28487-10,2,07/04/2019,00,192015510,,07/2019,02,20/08/2019,,009,22/08/2019,8,98.46,,,
A48-28494-10,1,26/06/2017,00,198015511,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,378.14,,,
A48-28600-10,1,22/08/2017,00,198015512,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,818.7,,,
A48-28600-10,1,22/08/2017,00,192015512,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"2,046.77",,,
A48-28600-10,1,22/08/2017,00,198013062,,06/2019,80,18/07/2019,19/07/2019,031,13/08/2019,17,792.3,,,
A48-28600-10,1,22/08/2017,00,192013062,,06/2019,02,18/07/2019,19/07/2019,031,13/08/2019,17,"1,980.76",,,
A48-28600-10,1,22/08/2017,00,196014384,,03/2019,81,30/07/2019,13/08/2019,002,13/08/2019,17,464.38,,,
A48-28660-10,3,01/08/2019,00,196014385,C,03/2019,81,30/07/2019,,009,16/08/2019,14,27.1,,,
A48-28664-10,1,10/03/2017,00,191062307,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,526.46",,,
A48-28678-10,2,24/07/2019,00,192015514,,07/2019,02,20/08/2019,,009,22/08/2019,8,590.88,,,
A48-28678-10,2,24/07/2019,00,198015514,,07/2019,80,20/08/2019,,009,22/08/2019,8,236.35,,,
A48-28678-10,2,24/07/2019,00,192014879,,06/2019,02,30/07/2019,,009,08/12/2019,18,738.61,,,
A48-28678-10,2,24/07/2019,00,198014879,,06/2019,80,30/07/2019,,009,08/12/2019,18,295.44,,,
A48-28678-10,2,24/07/2019,00,196014386,,03/2019,81,30/07/2019,,009,08/12/2019,18,164.32,,,
A48-28678-10,2,24/07/2019,00,192012399,,05/2019,02,28/06/2019,08/09/2019,009,07/12/2019,49,763.23,,,
A48-28678-10,2,24/07/2019,00,198012399,,05/2019,80,28/06/2019,08/09/2019,009,07/12/2019,49,305.29,,,
A48-28679-10,3,05/03/2019,00,198000891,,03/2019,82,08/01/2019,,009,16/08/2019,14,18.73,,,
A48-28726-10,1,11/01/2017,00,191062324,,07/2019,02,31/07/2019,,000,31/07/2019,30,"46,192.53",,,
A48-28783-10,1,28/11/2017,00,191062345,,07/2019,02,31/07/2019,,000,31/07/2019,30,830.47,,,
A48-28814-10,2,05/03/2019,00,196014391,,03/2019,81,30/07/2019,,009,08/12/2019,18,8.08,,,
A48-28816-10,3,08/01/2018,00,196013801,,03/2019,81,18/07/2019,23/07/2019,031,20/08/2019,10,379.84,,,
A48-28816-10,3,08/01/2018,00,198015518,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,946.1,,,
A48-28816-10,3,08/01/2018,00,198013066,,06/2019,80,18/07/2019,23/07/2019,031,20/08/2019,10,780.1,,,
A48-28825-10,1,01/02/2018,00,191062362,,07/2019,02,31/07/2019,,000,31/07/2019,30,"4,709.83",,,
A48-28828-10,1,01/03/2018,00,198015519,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,"2,454.04",,,
A48-28828-10,1,01/03/2018,00,192015519,,07/2019,02,20/08/2019,26/08/2019,002,26/08/2019,4,"6,135.10",,,
A48-28866-10,3,26/10/2018,00,196013803,,03/2019,81,18/07/2019,23/07/2019,032,26/08/2019,4,"1,542.02",,,
A48-28866-10,3,26/10/2018,00,191062378,,07/2019,02,31/07/2019,,000,31/07/2019,30,"5,430.24",,,
A48-28866-10,3,26/10/2018,00,198014884,,06/2019,80,30/07/2019,15/08/2019,002,15/08/2019,15,"2,102.03",,,
A48-28870-10,1,01/12/2018,00,196011214,C,02/2019,81,29/05/2019,06/11/2019,023,30/07/2019,31,"5,488.50",,,
A48-28870-10,1,01/12/2018,00,198015521,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"4,964.28",,,
A48-28870-10,1,01/12/2018,00,192015521,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"12,410.71",,,
A48-28870-10,1,01/12/2018,00,198010663,,04/2019,80,29/05/2019,06/11/2019,023,30/07/2019,31,"9,107.55",,,
A48-28870-10,1,01/12/2018,00,192013068,,06/2019,02,18/07/2019,19/07/2019,031,13/08/2019,17,"15,765.39",,,
A48-28870-10,1,01/12/2018,00,198013068,,06/2019,80,18/07/2019,19/07/2019,031,13/08/2019,17,"6,306.15",,,
A48-28870-10,1,01/12/2018,00,196014392,,03/2019,81,30/07/2019,14/08/2019,002,14/08/2019,16,"4,289.11",,,
A48-28892-10,3,18/04/2018,00,191062389,,07/2019,02,31/07/2019,,000,31/07/2019,30,"7,729.76",,,
A48-28897-10,3,12/08/2018,00,196011215,,02/2019,81,29/05/2019,06/12/2019,023,08/02/2019,28,785.87,,,
A48-28897-10,3,12/08/2018,00,198010664,,04/2019,80,29/05/2019,06/12/2019,023,08/02/2019,28,"1,134.49",,,
A48-28899-10,1,02/01/2018,00,191062394,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,067.58",,,
A48-28942-10,3,22/12/2018,00,191062409,C,07/2019,02,31/07/2019,,000,31/07/2019,30,"5,676.35",,,
A48-28978-10,1,26/03/2018,00,196014399,,03/2019,81,30/07/2019,15/08/2019,002,15/08/2019,15,72.28,,,
A48-28989-10,1,04/03/2018,00,198011916,,05/2019,80,18/06/2019,19/06/2019,023,08/02/2019,28,"2,057.06",,,
A48-28995-10,1,04/10/2018,00,196013808,,03/2019,81,18/07/2019,19/07/2019,032,27/08/2019,3,718.57,,,
A48-28995-10,1,04/10/2018,00,198015522,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"1,631.15",,,
A48-28995-10,1,04/10/2018,00,198013075,,06/2019,80,18/07/2019,19/07/2019,032,27/08/2019,3,"1,578.55",,,
A48-29047-10,1,19/04/2018,00,199032718,,07/2019,88,07/01/2019,26/07/2019,002,16/08/2019,14,"1,689.80",,,
A48-29078-10,1,27/04/2018,00,191062449,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,398.68",,,
A48-29079-10,1,05/04/2018,00,191062450,,07/2019,02,31/07/2019,,000,31/07/2019,30,628.69,,,
A48-29102-10,1,14/05/2018,00,198012409,,05/2019,80,28/06/2019,07/12/2019,023,13/08/2019,17,858.22,,,
A48-29102-10,1,14/05/2018,00,191062459,C,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,418.12",,,
A48-29107-10,1,22/05/2018,00,196014401,,03/2019,81,30/07/2019,15/08/2019,002,15/08/2019,15,304.06,,,
A48-29107-10,1,22/05/2018,00,198013077,,06/2019,80,18/07/2019,24/07/2019,031,20/08/2019,10,370.8,,,
A48-29107-10,1,22/05/2018,00,192013077,,06/2019,02,18/07/2019,24/07/2019,031,20/08/2019,10,927.01,,,
A48-29111-10,2,24/07/2019,00,196014402,,03/2019,81,30/07/2019,,009,08/12/2019,18,147.95,,,
A48-29111-10,2,24/07/2019,00,198012410,,05/2019,80,28/06/2019,08/09/2019,009,07/12/2019,49,175.88,,,
A48-29111-10,2,24/07/2019,00,192012410,,05/2019,02,28/06/2019,08/09/2019,009,07/12/2019,49,439.72,,,
A48-29111-10,2,24/07/2019,00,198015526,,07/2019,80,20/08/2019,,009,22/08/2019,8,248.31,,,
A48-29111-10,2,24/07/2019,00,192014890,,06/2019,02,30/07/2019,,009,08/12/2019,18,775.99,,,
A48-29111-10,2,24/07/2019,00,198014890,,06/2019,80,30/07/2019,,009,08/12/2019,18,310.39,,,
A48-29114-10,1,24/04/2018,00,198012411,,05/2019,80,28/06/2019,07/12/2019,023,13/08/2019,17,627.63,,,
A48-29122-10,1,05/01/2018,00,198015527,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,421.16,,,
A48-29122-10,1,05/01/2018,00,192015527,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"1,052.92",,,
A48-29133-10,1,06/06/2018,00,196013813,,03/2019,81,18/07/2019,23/07/2019,032,28/08/2019,2,640.12,,,
A48-29133-10,1,06/06/2018,00,198011921,,05/2019,80,18/06/2019,19/06/2019,023,29/07/2019,32,609.42,,,
A48-29133-10,1,06/06/2018,00,192015528,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,655.3,,,
A48-29133-10,1,06/06/2018,00,198015528,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,262.12,,,
A48-29133-10,1,06/06/2018,00,186021433,,05/2018,81,30/11/2018,13/12/2018,023,02/06/2019,205,576.11,,,
A48-29133-10,1,06/06/2018,00,198001437,,12/2018,80,18/01/2019,28/01/2019,023,31/01/2019,211,602.52,,,
A48-29133-10,1,06/06/2018,00,198009273,,04/2019,80,21/05/2019,23/05/2019,023,29/07/2019,32,589.77,,,
A48-29133-10,1,06/06/2018,00,192013079,,06/2019,02,18/07/2019,23/07/2019,032,28/08/2019,2,"1,638.24",,,
A48-29133-10,1,06/06/2018,00,198013079,,06/2019,80,18/07/2019,23/07/2019,032,28/08/2019,2,655.29,,,
A48-29133-10,1,06/06/2018,00,196010099,,02/2019,81,21/05/2019,23/05/2019,023,29/07/2019,32,576.11,,,
A48-29142-10,1,13/06/2018,00,198012413,,05/2019,80,28/06/2019,07/12/2019,023,08/12/2019,18,184.14,,,
A48-29150-10,3,01/04/2019,00,193000908,,04/2019,03,13/08/2019,23/08/2019,002,23/08/2019,7,"3,376.31",,,
A48-29150-10,3,01/04/2019,00,198000908,,04/2019,82,13/08/2019,23/08/2019,002,23/08/2019,7,"1,350.52",,,
A48-29150-10,3,01/04/2019,00,196013814,,03/2019,81,18/07/2019,22/07/2019,043,28/08/2019,2,"17,898.22",,,
A48-29150-10,3,01/04/2019,00,198000844,,03/2019,82,07/10/2019,22/07/2019,043,28/08/2019,2,"1,226.54",,,
A48-29150-10,3,01/04/2019,00,193000844,,03/2019,03,07/10/2019,22/07/2019,043,28/08/2019,2,"3,066.37",,,
A48-29150-10,3,01/04/2019,00,193000868,,06/2019,03,08/01/2019,13/08/2019,002,13/08/2019,17,"3,176.26",,,
A48-29150-10,3,01/04/2019,00,198000868,,06/2019,82,08/01/2019,13/08/2019,002,13/08/2019,17,"1,270.50",,,
A48-29150-10,3,01/04/2019,00,191062482,,07/2019,02,31/07/2019,,000,31/07/2019,30,"76,921.33",,,
A48-29169-10,1,25/06/2018,00,193000909,,04/2019,03,13/08/2019,22/08/2019,002,22/08/2019,8,"3,183.81",,,
A48-29169-10,1,25/06/2018,00,198000909,,04/2019,82,13/08/2019,22/08/2019,002,22/08/2019,8,"1,273.52",,,
A48-29170-10,3,22/12/2018,00,196014403,,03/2019,81,30/07/2019,15/08/2019,002,15/08/2019,15,613.26,,,
A48-29170-10,3,22/12/2018,00,198014892,,06/2019,80,30/07/2019,15/08/2019,002,15/08/2019,15,"1,067.82",,,
A48-29201-10,1,31/01/2018,00,196014404,,03/2019,81,30/07/2019,,009,16/08/2019,14,86.19,,,
A48-29201-10,1,31/01/2018,00,198014893,,06/2019,80,30/07/2019,,009,16/08/2019,14,403.85,,,
A48-29208-10,1,17/07/2018,00,198012415,,05/2019,80,28/06/2019,15/07/2019,023,14/08/2019,16,"49,464.92",,,
A48-29213-10,3,26/10/2018,00,198012416,,05/2019,80,28/06/2019,15/07/2019,023,15/08/2019,15,"3,659.41",,,
A48-29213-10,3,26/10/2018,00,198015529,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"5,422.80",,,
A48-29226-10,2,13/08/2019,00,196010102,,02/2019,81,21/05/2019,28/05/2019,037,08/12/2019,18,635.96,,,
A48-29226-10,2,13/08/2019,00,196013815,,03/2019,81,18/07/2019,24/07/2019,031,20/08/2019,10,635.95,,,
A48-29226-10,2,13/08/2019,00,198006618,,02/2019,80,29/03/2019,24/05/2019,037,08/12/2019,18,"1,064.96",,,
A48-29226-10,2,13/08/2019,00,198011923,,05/2019,80,18/06/2019,24/06/2019,009,08/05/2019,25,"1,179.03",,,
A48-29226-10,2,13/08/2019,00,192011923,,05/2019,02,18/06/2019,24/06/2019,009,08/05/2019,25,"2,947.58",,,
A48-29226-10,2,13/08/2019,00,192015530,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"2,947.58",,,
A48-29226-10,2,13/08/2019,00,198015530,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"1,179.03",,,
A48-29226-10,2,13/08/2019,00,192009276,,04/2019,02,21/05/2019,28/05/2019,037,08/12/2019,18,"2,852.50",,,
A48-29226-10,2,13/08/2019,00,198009276,,04/2019,80,21/05/2019,28/05/2019,037,08/12/2019,18,"1,141.00",,,
A48-29226-10,2,13/08/2019,00,198013081,,06/2019,80,18/07/2019,24/07/2019,031,20/08/2019,10,"1,141.00",,,
A48-29226-10,2,13/08/2019,00,192013081,,06/2019,02,18/07/2019,24/07/2019,031,20/08/2019,10,"2,852.50",,,
A48-29226-10,2,13/08/2019,00,198001898,,12/2018,80,31/01/2019,14/03/2019,037,08/12/2019,18,453.99,,,
A48-29226-10,2,13/08/2019,00,196007199,,01/2019,81,29/03/2019,24/05/2019,037,08/12/2019,18,514.58,,,
A48-29237-10,1,08/09/2018,00,196014406,,03/2019,81,30/07/2019,15/08/2019,002,15/08/2019,15,356.34,,,
A48-29237-10,1,08/09/2018,00,198014894,,06/2019,80,30/07/2019,15/08/2019,002,15/08/2019,15,605.84,,,
A48-29237-10,1,08/09/2018,00,192014894,,06/2019,02,30/07/2019,15/08/2019,002,15/08/2019,15,"1,514.60",,,
A48-29247-10,3,01/11/2019,00,191062532,,07/2019,02,31/07/2019,,000,31/07/2019,30,942.13,,,
A48-29254-10,1,22/08/2018,00,196014408,,03/2019,81,30/07/2019,,009,16/08/2019,14,494.04,,,
A48-29254-10,1,22/08/2018,00,192014896,,06/2019,02,30/07/2019,,009,16/08/2019,14,"1,437.10",,,
A48-29254-10,1,22/08/2018,00,198014896,,06/2019,80,30/07/2019,,009,16/08/2019,14,574.84,,,
A48-29272-10,1,01/12/2017,00,189031302,,01/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,045.56",,,
A48-29272-10,1,01/12/2017,00,189031303,,02/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,463.81",,,
A48-29272-10,1,01/12/2017,00,189031304,,03/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031305,,04/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,568.38",,,
A48-29272-10,1,01/12/2017,00,189031306,,05/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031307,,06/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,568.38",,,
A48-29272-10,1,01/12/2017,00,189031308,,07/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031309,,08/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031310,,09/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,568.38",,,
A48-29272-10,1,01/12/2017,00,189031311,,10/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031312,,11/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,568.38",,,
A48-29272-10,1,01/12/2017,00,189031313,,12/2017,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031314,,01/2018,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031315,,02/2018,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,463.81",,,
A48-29272-10,1,01/12/2017,00,189031316,,03/2018,60,10/01/2018,24/10/2018,014,16/01/2019,226,"1,620.65",,,
A48-29272-10,1,01/12/2017,00,189031317,,04/2018,60,10/01/2018,24/10/2018,014,16/01/2019,226,627.34,,,
A48-29272-10,1,01/12/2017,00,189031318,,01/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,418.22,,,
A48-29272-10,1,01/12/2017,00,189031319,,02/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,585.52,,,
A48-29272-10,1,01/12/2017,00,189031320,,03/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031321,,04/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,627.35,,,
A48-29272-10,1,01/12/2017,00,189031322,,05/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031323,,06/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,627.35,,,
A48-29272-10,1,01/12/2017,00,189031324,,07/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031325,,08/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031326,,09/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,627.35,,,
A48-29272-10,1,01/12/2017,00,189031327,,10/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031328,,11/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,627.35,,,
A48-29272-10,1,01/12/2017,00,189031329,,12/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031330,,01/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031331,,02/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,585.52,,,
A48-29272-10,1,01/12/2017,00,189031332,,03/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,648.26,,,
A48-29272-10,1,01/12/2017,00,189031333,,04/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,250.94,,,
A48-29272-10,1,01/12/2017,00,189031334,,01/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,262.39,,,
A48-29272-10,1,01/12/2017,00,189031335,,02/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,333.46,,,
A48-29272-10,1,01/12/2017,00,189031336,,03/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,333.46,,,
A48-29272-10,1,01/12/2017,00,189031337,,04/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,338.92,,,
A48-29272-10,1,01/12/2017,00,189031338,,05/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,333.46,,,
A48-29272-10,1,01/12/2017,00,189031439,,10/2018,88,16/10/2018,24/10/2018,014,16/01/2019,226,"1,612.00",,,
A48-29272-10,1,01/12/2017,00,189031339,,06/2017,88,10/01/2018,24/10/2018,014,16/01/2019,226,333.46,,,
A48-29272-10,1,01/12/2017,00,189031340,,01/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,322.52,,,
A48-29272-10,1,01/12/2017,00,189031341,,02/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,235.06,,,
A48-29272-10,1,01/12/2017,00,189031345,,10/2018,88,10/01/2018,24/10/2018,014,16/01/2019,226,"1,612.00",,,
A48-29339-10,2,01/07/2019,00,196006005,C,01/2019,81,20/03/2019,22/04/2019,032,26/06/2019,65,88.2,14,22,
A48-29339-10,2,01/07/2019,00,188022817,,11/2018,80,28/12/2018,02/06/2019,031,29/05/2019,93,"8,878.13",14,22,
A48-29339-10,2,01/07/2019,00,188020721,,10/2018,80,29/11/2018,17/12/2018,031,29/05/2019,93,"2,547.22",14,22,
A48-29339-10,2,01/07/2019,00,198001449,,12/2018,80,18/01/2019,19/02/2019,031,29/05/2019,93,"4,035.48",14,22,
A48-29339-10,2,01/07/2019,00,196002352,,06/2018,81,31/01/2019,03/07/2019,031,29/05/2019,93,"4,133.25",14,22,
A48-29339-10,2,01/07/2019,00,186021458,,05/2018,81,30/11/2018,17/12/2018,031,29/05/2019,93,816.92,14,22,
A48-29339-10,2,01/07/2019,00,198003973,,01/2019,80,19/02/2019,21/03/2019,031,29/05/2019,93,244.46,14,22,
A48-29347-10,1,10/01/2018,00,196014411,C,03/2019,81,30/07/2019,,009,16/08/2019,14,357.18,,,
A48-29352-10,2,23/08/2019,00,192014900,,06/2019,02,30/07/2019,,009,16/08/2019,14,"1,269.94",,,
A48-29352-10,2,23/08/2019,00,198014900,,06/2019,80,30/07/2019,,009,16/08/2019,14,507.97,,,
A48-29352-10,2,23/08/2019,00,196014412,C,03/2019,81,30/07/2019,,009,16/08/2019,14,288.06,,,
A48-29352-10,2,23/08/2019,00,196011233,,02/2019,81,29/05/2019,14/06/2019,009,08/05/2019,25,"1,647.82",,,
A48-29352-10,2,23/08/2019,00,198010679,,04/2019,80,29/05/2019,14/06/2019,009,08/05/2019,25,"2,097.08",,,
A48-29352-10,2,23/08/2019,00,192010679,,04/2019,02,29/05/2019,14/06/2019,009,08/05/2019,25,"5,242.70",,,
A48-29352-10,2,23/08/2019,00,191062581,C,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,312.27",,,
A48-29382-10,1,13/11/2018,00,198014901,,06/2019,80,30/07/2019,15/08/2019,002,15/08/2019,15,305.91,,,
A48-29382-10,1,13/11/2018,00,196014413,,03/2019,81,30/07/2019,15/08/2019,002,15/08/2019,15,141.56,,,
A48-29387-10,2,04/04/2019,00,196007206,,01/2019,81,29/03/2019,24/05/2019,031,08/06/2019,24,552.2,14,38,
A48-29387-10,2,04/04/2019,00,192006624,,02/2019,02,29/03/2019,24/05/2019,031,08/06/2019,24,"3,573.76",14,38,
A48-29387-10,2,04/04/2019,00,198006624,,02/2019,80,29/03/2019,24/05/2019,031,08/06/2019,24,"1,429.50",14,38,
